comment; score; time
yaaay; 0; 2012-09-23 14:08:45
n't think gcc 's gon na like `` override '' ...; 0; 2012-06-24 10:45:50
method define override class unit result execution unit :getrace dependent compiler ...; 0; 2012-06-24 10:49:26
somewhere `` define override `` line compiler n't know keyword; 0; 2012-06-24 10:57:09
's 'creature- setrace getcreaturemodelrace getnativedisplayid somewhere creature initialization code; 0; 2012-06-24 10:59:36
oh ok bad and..what keyword; -1; 2012-06-24 11:07:38
n't think gcc 's gon na like `` override '' ...; 0; 2012-06-24 10:45:50
method define override class unit result execution unit :getrace dependent compiler ...; 0; 2012-06-24 10:49:26
somewhere `` define override `` line compiler n't know keyword; 0; 2012-06-24 10:57:09
's 'creature- setrace getcreaturemodelrace getnativedisplayid somewhere creature initialization code; 0; 2012-06-24 10:59:36
oh ok bad and..what keyword; -1; 2012-06-24 11:07:38
note think tc add something similar time ago add base outdoor pvp research write although could use code really worth effort ...; 0; 2012-04-12 13:08:00
well provide additional parameter required animation id call animid likely invention one person; 0; 2012-04-12 14:21:11
real usage 're say need outdoor pvp pvp objective something; 0; 2012-04-12 14:33:13
need check old value one encounter credit may reach one time; 0; 2011-09-04 06:31:30
fully functional replace impossible check state encounter dungeon; 0; 2011-09-04 06:51:17
exactly creature kill single call spell :finish; 0; 2011-09-04 07:36:30
see may multi-boss last encounter spell may cast unexpected bos respawn; 0; 2011-09-04 07:47:08
state talk encounter complete reflect m_completedencountersmask far know n't link encounter map need load map id difficulty ofc ca; 0; 2011-09-04 07:47:45
spell cast expect encounter complete case wrong 've see multi-boss encounter always spell dependency 's update simple kill; 0; 2011-09-04 07:49:07
well desire leave open use bug error db script hard find everyone forget; -1; 2011-09-04 08:30:28
dont need complete encounter order receive lfg reward least n't wotlk guess matter anyway thanks patch; 0; 2011-09-04 08:57:31
's discussied question ... 50/50 different opinion problem anyway possibility check complete separate encouter must check mask good idea encounter may disable dbc double heroic additional boss; 0; 2011-09-04 09:12:30
think label wrong manually edit; 0; 2011-09-06 20:18:42
awesome ...; 1; 2011-07-08 08:03:11
mamma mia ... gigantic work..; 0; 2011-07-08 08:49:21
's da man silverice; 0; 2011-07-08 08:56:03
oooo ... god great job; 1; 2011-07-08 09:03:38
amazing thank; 1; 2011-07-08 09:07:16
nice great job; 1; 2011-09-02 05:57:05
comment would helpful ..; 0; 2010-10-24 08:05:37
... ask; 0; 2010-10-25 06:15:05
opcodes.cpp 0x50f 0x511 worldsession :handle_serverside; 0; 2010-05-01 13:38:34
