comment; score; time
bad idea rename every single container typedef store guids use predefined typenames across project typenames must clarify kind data suppose store object type `` bgobjects '' `` guardianpetlist ''; 0; 2012-07-11 12:28:26
hooray ambal 's return nice see man; 1; 2012-07-11 12:41:31
good idd; 1; 2012-07-11 12:47:15
passing; 0; 2012-07-11 13:06:05
disagree ambal well ... guidset suppose objectguids matter player guids creature guids type objectguid also dont use seperate typedefs string playername creatu; 0; 2012-07-12 00:56:23
supporting name variable one give reader strong hint suppose store type guess depend `` school '' debate choose either camel casing hungarian notat; 0; 2012-07-11 22:29:58
bad idea rename every single container typedef store guids use predefined typenames across project typenames must clarify kind data suppose store object type `` bgobjects '' `` guardianpetlist ''; 0; 2012-07-11 12:28:26
hooray ambal 's return nice see man; 1; 2012-07-11 12:41:31
good idd; 1; 2012-07-11 12:47:15
passing; 0; 2012-07-11 13:06:05
disagree ambal well ... guidset suppose objectguids matter player guids creature guids type objectguid also dont use seperate typedefs string playername creatu; 0; 2012-07-12 00:56:23
supporting name variable one give reader strong hint suppose store type guess depend `` school '' debate choose either camel casing hungarian notat; 0; 2012-07-11 22:29:58
shmoo congrats mangos-dev status; 1; 2011-09-03 13:40:52
nice; 1; 2011-09-03 13:46:45
schmoozerd finally dev cool cheers; 1; 2011-09-04 00:32:24
ambal dev; 0; 2011-09-04 00:35:05
congratulations; 1; 2011-09-04 01:56:53
thank guy; 1; 2011-09-04 03:28:46
's late gz; 0; 2011-09-06 16:24:36
const_cast perfectly fit case need remove const modifier spellentry const*; 0; 2011-07-30 05:19:25
static_cast slowdown cast type use multiple inheritance; 0; 2011-08-26 11:19:41
hmm good note yes case multiple inheritance require additional code generation compiler cast work simplified comparison dynamic case way require; 0; 2011-08-26 13:01:40
yes mutiply inheritance case generate real code mostly update 'this pointer register different no-op case const_cast reinterpret_cast note code cleary simple generate dynamic_cast code least; 0; 2011-08-27 12:33:28
static_cast operator compile-time operation oppose dynamic_cast execution-time operation relies rtti; 0; 2011-08-27 03:51:05
thanks finally submit silveice; 0; 2011-05-16 01:48:17
thank neo2003 nice patch; 1; 2011-04-27 06:45:14
may remove std :list std vector std :queue reliable ...; 0; 2011-04-16 11:44:57
rsa stl container n't 'higher reliability performance reason stick std :vector since much high cpu cache locality use linked list referencemanager actually kill current core performance; 0; 2011-04-18 02:14:13
overwrite overwritten; 0; 2011-04-13 09:45:09
oh damn another commit fix engrish; 0; 2011-04-13 10:06:29
overwritten proper one; 0; 2011-04-13 12:09:44
std :numeric_limits float :signaling_nan; 0; 2011-04-13 10:53:17
...; 0; 2011-04-13 11:35:43
_rare_ crash; -1; 2011-04-12 22:40:46
n't good set summon point create; 0; 2011-04-13 09:55:36
vinolentus start discussion yesterday suppose move code create patch already available anyway protect code incorrect usage forbid access uninitialized data; 0; 2011-04-13 10:03:13
nice catch; 1; 2011-04-12 06:47:47
every single item/unit/go world packedguid object ram saving might noticable; 0; 2011-04-12 03:56:23
vlad good original check n't get release build ppl still get assertion failure mangos_assert usage o.o could use assert whatever macro use; 0; 2011-04-07 13:58:24
release build define -dndebug skip assert 's; 0; 2011-04-07 14:29:54
oh see use _wassert call release build anymore; 0; 2011-04-07 14:40:04
vlad good original check n't get release build ppl still get assertion failure mangos_assert usage o.o could use assert whatever macro use; 0; 2011-04-07 13:58:24
release build define -dndebug skip assert 's; 0; 2011-04-07 14:29:54
oh see use _wassert call release build anymore; 0; 2011-04-07 14:40:04
reason http //gist.github.com/904015 detail comment 11306; 0; 2011-04-06 02:21:28
cheating stupid gm 's ... additional check bad; -1; 2011-04-06 02:28:39
vlad thought improve check prevent wrong data assignment welcome problem place check getters definitely yield result chase setter forever since incorrect setter usag; 0; 2011-04-06 03:07:19
make normal way debug check guard mangos_debug ifdef least add check affect player rsa havy modify source get crash assign wrong value unknown place 's maybe assign long crash mayb; 0; 2011-04-06 11:35:55
vlad protect mango core bad patch clean core crash check problem someone screw main logic n't care patch work want want; -1; 2011-04-06 14:27:38
reason http //gist.github.com/904015 detail comment 11306; 0; 2011-04-06 02:21:28
cheating stupid gm 's ... additional check bad; -1; 2011-04-06 02:28:39
vlad thought improve check prevent wrong data assignment welcome problem place check getters definitely yield result chase setter forever since incorrect setter usag; 0; 2011-04-06 03:07:19
make normal way debug check guard mangos_debug ifdef least add check affect player rsa havy modify source get crash assign wrong value unknown place 's maybe assign long crash mayb; 0; 2011-04-06 11:35:55
vlad protect mango core bad patch clean core crash check problem someone screw main logic n't care patch work want want; -1; 2011-04-06 14:27:38
reason http //gist.github.com/904015 detail comment 11306; 0; 2011-04-06 02:21:28
cheating stupid gm 's ... additional check bad; -1; 2011-04-06 02:28:39
vlad thought improve check prevent wrong data assignment welcome problem place check getters definitely yield result chase setter forever since incorrect setter usag; 0; 2011-04-06 03:07:19
make normal way debug check guard mangos_debug ifdef least add check affect player rsa havy modify source get crash assign wrong value unknown place 's maybe assign long crash mayb; 0; 2011-04-06 11:35:55
vlad protect mango core bad patch clean core crash check problem someone screw main logic n't care patch work want want; -1; 2011-04-06 14:27:38
