repo_id, user_id
2, 2
7, 2
3, 3
4, 6
6, 10
7, 10
10, 14
11, 15
5, 402
8, 402
8, 410
8, 412
5, 414
5, 416
8, 416
8, 427
8, 461
8, 473
5, 480
5, 481
8, 481
5, 504
7242, 510
8, 549
8, 684
3, 693
107085, 703
107186, 703
107672, 703
3, 850
16402, 882
7, 965
2, 1106
7, 1106
7, 1110
2, 1174
7, 1174
454, 1183
454, 1189
454, 1196
454, 1201
454, 1207
454, 1269
11, 2513
11, 2528
11, 2596
78852, 2638
107085, 2643
107186, 2643
107672, 2643
24292, 2969
19580, 3410
62501, 3410
9636, 3468
23781, 3468
51671, 3491
8, 3589
3583, 3895
8, 4025
8, 4028
8, 4031
8, 4033
8, 4035
12, 4351
22980, 5052
72032, 5301
74914, 5301
26388, 5762
9, 5793
107085, 6917
107186, 6917
107672, 6917
106160, 7566
107085, 7566
107186, 7566
107672, 7566
107085, 7649
107186, 7649
107672, 7649
107085, 7913
107186, 7913
107672, 7913
3437, 8304
10593, 8413
79163, 8646
25875, 9121
7, 9159
3437, 9173
3437, 9185
9636, 9441
79163, 9487
25875, 9525
13566, 9651
9636, 9652
23781, 9652
289, 9875
12, 9962
12, 9980
12, 10004
289, 10064
12, 10231
2, 10352
7, 10679
9, 11027
9, 11062
3750, 11067
10593, 11067
24292, 11067
9, 11069
8, 11082
3750, 11082
24292, 11103
24292, 11106
24292, 11107
3750, 11109
23781, 11124
79166, 11124
9636, 11258
10380, 11258
9636, 11260
107085, 11271
107186, 11271
107672, 11271
7, 11278
9, 11398
9, 11419
9, 11667
9, 11676
9, 11703
10593, 11705
24292, 11705
10593, 11766
24292, 11766
51671, 11800
9, 11917
9, 11960
9, 12004
9, 12011
9, 12033
9, 12060
9, 12105
9, 12307
9, 12553
9, 12555
9, 12558
9, 12560
9, 12563
9, 12566
7, 12568
7, 12570
7, 12571
9, 12579
9, 12610
9, 12637
3583, 12639
3583, 12651
3583, 12660
3583, 12665
3583, 12669
3583, 12677
3583, 12681
3583, 12687
3583, 12689
9, 12698
9, 12722
3583, 12730
3583, 12743
3583, 12747
3583, 12771
3583, 12775
3583, 12779
3583, 12783
3583, 12796
3583, 12805
3583, 12823
3583, 12845
3583, 12879
3583, 12893
3583, 12898
3583, 12906
3583, 12924
3583, 12929
5326, 12985
3583, 13007
3583, 13026
3583, 13028
3583, 13099
3583, 13104
3583, 13112
3583, 13148
9, 13157
3583, 13158
3583, 13197
9, 13224
3583, 13289
3583, 13347
3583, 13518
9, 13534
3583, 13586
3583, 13590
8955, 13646
3583, 13692
3583, 13709
3583, 13714
3583, 13754
3583, 13854
3583, 13868
3583, 13928
3583, 13947
3583, 14072
289, 14129
3583, 14187
5, 14289
62501, 14310
3583, 14354
5, 14382
5, 14405
3583, 14420
78852, 14527
91020, 14527
3583, 14761
3583, 14816
64918, 15032
3583, 15073
3583, 15074
12, 15444
12, 15459
3583, 15773
7242, 15946
12, 15972
3583, 15985
23781, 16101
79166, 16170
107085, 16394
107186, 16394
107672, 16394
23781, 16422
12, 16473
7427, 16574
25875, 16599
9636, 16660
23781, 16660
9, 16672
9, 16675
42644, 16786
22981, 16796
107085, 16796
107186, 16796
107672, 16796
3583, 16822
19580, 17359
62501, 17359
78852, 17402
63250, 17542
9636, 17548
23781, 17548
59607, 17576
107085, 17951
107186, 17951
107672, 17951
107085, 18027
107186, 18027
107672, 18027
79163, 18654
10593, 19286
24292, 19286
95385, 19308
10380, 19452
25875, 19815
78852, 20038
104307, 20038
23781, 20430
104307, 20469
95385, 20866
9636, 21052
106161, 21132
107085, 21162
107186, 21162
107672, 21162
107085, 21244
107186, 21244
107672, 21244
47382, 21279
107085, 21292
107186, 21292
107672, 21292
91331, 21320
3583, 21540
13566, 21541
107085, 21563
107186, 21563
107672, 21563
107085, 21925
107186, 21925
107672, 21925
107085, 21942
107186, 21942
107672, 21942
72032, 21948
78852, 22053
78852, 22511
62502, 22516
107085, 22848
107186, 22848
107672, 22848
95385, 23154
63250, 23445
9215, 23736
107085, 23869
107186, 23869
107672, 23869
13566, 23973
74914, 24596
76945, 24813
8955, 25010
8955, 25016
23781, 25095
12, 25122
12, 25126
12, 25130
107085, 25140
107186, 25140
107672, 25140
12, 25141
12, 25158
12, 25180
12, 25258
12, 25385
12, 25408
12, 25452
12, 25544
12, 25613
12, 25666
63250, 25678
64918, 25715
3583, 25742
12, 25743
12, 25833
12, 25897
72032, 25950
63250, 26020
107085, 26209
107186, 26209
107672, 26209
107085, 26315
107186, 26315
107672, 26315
13566, 26465
19580, 26969
62501, 26969
107085, 27107
107186, 27107
107672, 27107
107085, 27115
107186, 27115
107672, 27115
106160, 27252
107085, 27252
107186, 27252
107672, 27252
3583, 27498
10380, 27558
78852, 27558
10380, 27561
79166, 27561
78852, 27597
79166, 27603
79166, 27885
101997, 27885
107085, 28373
107186, 28373
107672, 28373
23781, 28480
107085, 28628
107186, 28628
107672, 28628
91020, 28676
23781, 28799
9636, 28891
9636, 28925
9636, 28928
9636, 28963
12, 29045
9636, 29048
9636, 29161
9636, 29172
107085, 29280
107186, 29280
107672, 29280
9636, 29371
59607, 29548
9636, 29598
107085, 29808
107186, 29808
107672, 29808
9636, 30083
16134, 30277
9215, 30281
9215, 30282
9215, 30285
9215, 30286
9215, 30288
9215, 30291
9215, 30300
9215, 30313
9636, 30343
9215, 30345
10593, 30394
24292, 30394
9215, 30464
9215, 30471
78852, 30535
24292, 30545
9215, 30550
9636, 30620
15018, 30620
9636, 30634
10593, 30793
24292, 30793
24292, 30794
15974, 30912
14328, 30953
13566, 30989
9636, 31492
91331, 31570
78852, 31607
10629, 31721
10629, 31730
9215, 31764
91331, 31790
